State	Date	Action Taken
New York	2020/3/7	State of emergency declared.
New York	2020/3/9	State began producing its own brand of hand sanitizer.
New York	2020/3/10	Governor Cuomo orders a coronavirus "containment zone" in New Rochelle, Westchester County, NY.[70]
New York	2020/3/12	All gatherings of less than 500 people ordered to cut capacity by 50%. All gatherings of more than 500 people ordered to cancel.
New York	2020/3/12	All SUNY campuses ordered to close within a week, and then shift to online for the remainder of the semester.
New York	2020/3/15	All New York City schools ordered to close until April 20.
New York	2020/3/16	Cuomo coordinates with his counterparts in New Jersey and Connecticut to formulate uniform policies for shutdowns.[71]
New York	2020/3/20	State-wide stay-at-home order declared. All non-essential businesses ordered to close. All non-essential gatherings canceled/postponed.[71]
New York	2020/3/25	Advisory issued ordering nursing homes to admit patients who test positive for the coronavirus and to not allow testing of prospective nursing home patients. This order was revoked on May 10.
New York	2020/3/27	All schools statewide ordered to remain closed until April 15.
New York	2020/3/28	All non-essential construction sites ordered to shut down.
New York	2020/4/6	Statewide stay-at-home order and school closures extended to April 29.
New York	2020/4/9	List of businesses deemed essential expanded.
New York	2020/4/15	All state residents ordered to wear face masks/coverings in public places where social distancing is not possible.
New York	2020/4/16	Statewide stay-at-home order and school closures extended to May 15.
New York	2020/5/1	All schools and universities ordered to remain closed for the remainder of the academic year.
New York	2020/5/7	Statewide four-phase reopening plan is first announced.
New York	2020/5/14	Statewide state of emergency extended to June 13.
New York	2020/5/15	Drive-in theaters, landscaping/gardening businesses allowed to reopen state-wide (regardless of Phase 1 qualifications).
New York	2020/5/15	Phase 1 of reopening allowed for counties that met qualifications. Five counties met qualifications and began reopening on this date.
New York	2020/5/23	Gatherings of up to ten people allowed as long as social distancing is practiced.
New York	2020/6/8	New York City meets conditions for Phase 1, allowing the reopening of construction, manufacturing, agriculture, forestry, fishing, and select retail businesses that can offer curbside pickup.
New York	2020/6/15	Four-phase reopening plan is modified to allow non-essential gatherings of 25 people upon entry of Phase 3, and 50 people upon entry of Phase 4.
New York	2020/6/22	New York City meets conditions for Phase 2, allowing the reopening of outdoor dining at restaurants, hair salons and barber shops, offices, real estate firms, in-store retail, vehicle sales, retail rental, repair services, cleaning services, and commercial building management businesses.
New York	2020/7/10	Malls allowed to open at 25% capacity for regions in Phase 4, with all patrons required to wear masks.
New York	2020/7/16	New restrictions on bars/restaurants only allowing alcohol to be served only to people ordering food.
New York	2020/8/7	Schools allowed to open in-person in the fall if certain conditions are met.
New York	2020/8/19	Ban on ticketed music events at bars and restaurants.
New York	2020/10/1	Exposure notification apps are added to notify users of potential exposure.
New York	2020/10/1	The previous ban on ticketed events at bars and restaurants is ruled unconstitutional.
New York	2020/10/6	Micro-cluster strategy is introduced, with the first micro-clusters being parts of Brooklyn and Queens.
New York	2020/11/12	Bars, gyms, and any other business with a liquor license must close by 10 p.m. (restaurants as well, except for curbside pickup). Household gatherings limited to ten people.
New York	2020/11/25	Previous restrictions on capacity through the micro-cluster strategy for places of worship is ruled unconstitutional.
New York	2020/12/8	Hospital bed capacity statewide is demanded to be upgraded by 25 percent.
New York	2021/6/24	State of Emergency expires
California	2020/3/4	State of emergency declared.
California	2020/3/12	Mass gatherings (over 250 people) and social gatherings (over 10 people) banned.
California	2020/3/19	State-wide stay-at-home order issued.
California	2020/3/24	Intakes in prisons and juvenile correction centers postponed.
California	2020/4/1	Closure of all public and private schools (including institutions of higher education) ordered for the remainder of the 2019–2020 academic year.
California	2020/4/9	State offered to pay hotel room costs for hospital and other essential workers afraid of returning home and infecting family members.
California	2020/4/24	Program to deliver free meals to elderly residents announced.
California	2020/4/29	Expansion of the state's Farm to Family program (which helps connect farmers to food banks) announced.
California	2020/5/6	Worker's compensation extended for all workers who contracted COVID-19 during the state's stay-at-home order.
California	2020/5/6	Property tax penalties waived for residents and small businesses that have been negatively affected by the pandemic.
California	2020/5/7	State entered Stage 2 of its 4-stage reopening roadmap.
California	2020/5/8	Executive order signed that would send every registered voter a mail-in ballot for the general election.
California	2020/5/18	Businesses that are part of Stage 3 allowed to reopen.
California	2020/5/26	Hair service businesses allowed to reopen (with restrictions).
California	2020/6/18	Universal masking guidance issued by Department of Public Health.
California	2020/6/28	Bars ordered to close in several counties.
California	2020/7/1	Most indoor businesses, including restaurants, wineries, and movie theaters ordered to close in several counties.
California	2020/7/13	Closure of gyms, indoor dining, bars, movie theaters, and museums re-imposed.
California	2020/8/28	Unveiled a new set of guidelines for lifting restrictions, titled a "Blueprint for a Safer Economy" (BSE).
California	2020/8/31	BSE county-level restrictions take effect. See below for initial classifications. More than 80% of population is under "Widespread" restrictions.
California	2020/9/29	Majority of population now under "Substantial" or lower BSE restrictions.[A][B]
California	2020/11/10	Majority of population back up to "Widespread" BSE restrictions.[A]
California	2020/11/21	Nighttime curfew implemented for counties under "Widespread" BSE restrictions.
California	2020/12/3	Regional stay-at-home orders announced.
California	2020/12/7	Southern California and San Joaquin Valley regions under Regional stay-at-home order .
California	2021/1/6	Golden State stimulus program announced.
California	2021/1/25	Nighttime curfew and regional stay-at-home orders lifted.
California	2021/3/13	Majority of population back under "Substantial" or lower BSE restrictions.[A]
California	2021/4/6	Majority of population under "Moderate" or lower BSE restrictions.[A]
California	2021/4/6	Plan for reopening the economy and scrapping the BSE system on June 15 announced.
California	2021/4/29	$6.2 billion tax cut for small businesses signed into law.
California	2021/5/10	California Comeback Plan announced.
California	2021/5/27	Vax for the Win incentive program announced.
California	2021/6/8	Majority of population under "Minimal" BSE restrictions.[A]
California	2021/6/15	Retired the Blueprint for a Safer Economy. Masks are still required in schools, on public transportation, such as buses, airplanes, the COASTER and the Pacific Surfliner. hospitals, prisons, and long term care facilities require masks.
Florida	2020/3/1	Public health emergency declared.
Florida	2020/3/17	All bars and nightclubs ordered to close for 30 days.
Florida	2020/3/17	School closures extended to April 15, and state-mandated school testing cancelled.
Florida	2020/3/28	Emergency alert sent to cell phones throughout Florida from the state's Surgeon General regarding public safety.
Florida	2020/3/30	Stay-at-home order issued for several South Florida counties.
Florida	2020/4/1	Stay-at-home order issued for entire state.
Florida	2020/6/1	Statewide moratorium on evictions and foreclosures extended by 30 days.
Florida	2020/6/5	"Phase 2" of reopening begins, except for the counties of Miami-Dade, Broward, and Palm Beach.
Florida	2020/6/26	Banned alcohol sales at all bars across the state.
Florida	2020/9/25	"Phase 3" of reopening begins.
Georgia	2020/3/14	Public health emergency declared.
Georgia	2020/3/16	Gov. Brian Kemp ordered all public schools, colleges and universities to close, starting March 18. Later, he would announce they would remain closed for the rest of the school year.
Georgia	2020/3/23	The governor signed the first shelter-in-place order for people who were considered medically fragile. It also ordered bars to close and banned gatherings of more than 10 people without social distancing.
Georgia	2020/4/2	Shelter-in-place order was extended to every person in the state, with few exceptions.
Georgia	2020/4/24	Some business allowed to reopen, including "gyms, hair salons, bowling alleys and tattoo parlors", with movie theaters and restaurants at 50% capacity allowed to reopen on April 27.
Georgia	2020/4/30	Statewide shelter-in-place order expires
Alabama	2020/4/28	 Gov. Kay Ivey (R) announced the state would transition from a “Stay At Home” order to a “Safer At Home” order beginning on April 30 at 5 p.m. and lasting until May 15. The new order will allow some businesses to reopen under sanitation and social-distancing guidelines, retail stores to open at 50% max occupancy, and beaches to reopen with gatherings limited to 10 and required social distancing. Restaurants will remain limited to takeout and delivery. Alabama is a Republican trifecta.
Alabama	2020/5/4	 Superintendent of Schools Eric Mackey released a phased reopening plan for public schools in the state. The plan allows children older than 13 to hold athletic practice or summer school in groups smaller than 10 starting June 8. Summer literary camps could start July 6, and full band and athletic practices could begin in early August. Alabama is one of 46 states that closed schools to in-person instruction for the remainder of the 2019-2020 academic year. It is a Republican trifecta.
Alabama	2020/5/11	 On Friday, May 8, Gov. Kay Ivey (R) announced that restaurants, hair and nail salons, and gyms could begin limited operations as of today. Restaurants, bars, and breweries can open with table limits of 8 people and six-foot distances between dining groups. Gyms and salons can open at 50% capacity and with social distancing and sanitation rules.
Alabama	2020/5/22	 Gov. Kay Ivey (R) announced that an amended safer at home order would take effect at 5 p.m. on May 22. The amended order allows entertainment venues, athletic activities, educational institutions, child care facilities, and summer camps to open under social distancing and sanitation guidelines. The amended order is set to last until July 3.
Alabama	2020/6/26	 Alabama Superintendent of Education Eric Mackey released reopening guidance for schools. The guidance allows local school officials to determine face-covering requirements and physical distancing protocols.
Alabama	2020/7/1	 Gov. Kay Ivey (R) extended the state’s safer at home order through July 31. The order first went into effect on May 22 and is effectively the first phase of the state’s reopening plan. The order was initially scheduled to end on July 3.
Alabama	2020/7/16	 Gov. Kay Ivey (R) announced a mandatory mask order effective at 5 p.m. on July 16. Face coverings are required in public when interacting within six feet with people of another household. The order has a penalty of $500 or jail time.
Alabama	2020/7/27	 In a July 24 discussion with U.S. Sen. Doug Jones (D), Superintendent of Education Eric Mackey said he expected about half of the state’s public school students to attend classes remotely in the fall.
Alabama	2020/7/30	 Gov. Kay Ivey (R) extended her Safer At Home Order through Aug. 31. She modified the order’s existing mask mandate to extend to students at schools (second grade and older) and colleges.
Alabama	2020/8/4	 The Alabama Department of Public Health released an 85-page school reopening toolkit. It contains recommendations and guidelines for school districts to incorporate into their reopening plans.
Alabama	2020/8/5	 Gov. Asa Hutchinson (R) said that public schools in the state were still on track to reopen beginning Aug. 24. “We need to have school this year. Absolutely. I'm firm on that. The educators are firm on that. Public health is firm on [that]. We need to have school,” he said.
Alabama	2020/8/27	 Gov. Kay Ivey (R) extended the state’s mask mandate through Oct. 2. At a press conference, Ivey said, “I understand you don't want to wear a mask; I don't either . . . But we are seeing significant drops (in COVID-19 infections) that are no doubt due to the mask order.”
Alabama	2020/9/30	 Gov. Kay Ivey (R) extended the state’s Safer at Home order, which includes the public mask requirement, through Nov. 8.
Alabama	2020/11/6	 Gov. Kay Ivey (R) extended the state’s mask requirement through Dec. 11. Ivey also amended the Safer at Home order to remove occupancy limits on gyms, retailers, and entertainment venues.
Alabama	2020/11/19	 Gov. Kay Ivey (R) announced a $200 million relief program. Organizations with 50 or fewer employees, including small businesses, nonprofits, and faith-based groups, can apply for up to $20,000 to offset expenses from interruptions to normal operations.
Alabama	2020/11/23	 The state released a contact tracing app that can notify users of possible coronavirus exposure.
Alabama	2020/12/10	 Gov. Kay Ivey (R) extended the state’s Safer at Home order, including the requirement that people wear a face-covering in public spaces when social distancing with non-household members cannot be kept, until 5 p.m. on Jan. 22, 2021.
Alabama	2021/1/11	 Gov. Kay Ivey (R) announced individuals age 75 and older and first responders (including police officers and firefighters) will be eligible to receive a vaccine starting Jan. 18. Ivey said the change was not a full expansion into Phase 1b. Phase 1a currently includes healthcare workers and long-term care residents and staff.
Alabama	2021/1/22	 Gov. Kay Ivey (R) extended the state’s Safer at Home order, including the requirement that people wear a face-covering in public spaces when social distancing with non-household members cannot be kept, until 5 p.m. on March 5.
Alabama	2021/2/1	 Gov. Kay Ivey (R) announced individuals age 65 and older and certain frontline essential workers (including corrections officers and grocery store staff) will be eligible to receive vaccinations starting Feb. 8. Currently, individuals age 75 and older are eligible to get vaccinated.
Alabama	2021/2/8	 Individuals age 65 and older and certain frontline essential workers (including corrections officers and grocery store staff) are eligible to receive vaccinations starting Feb. 8. Previously, appointments were limited to individuals age 75 and older.
Alabama	2021/3/4	 Gov. Kay Ivey (R) extended the state’s coronavirus emergency order, including the mask requirement, until 5:00 p.m. on April 9. Ivey said she will let the mask order expire on April 9.
Alabama	2021/3/10	 A federal vaccination site is opening at United Center on March 10. The site can administer up to 6,000 vaccines a day. Residents age 65 and older started scheduling appointments to receive vaccinations at the site on March 4. Other people in Phase 1b, including anyone with high-risk conditions and some frontline essential workers, started scheduling appointments on March 7.
Alabama	2021/3/15	 Gov. Kay Ivey (R) announced residents age 55 or older and people ages 16-64 with state-defined high-risk underlying conditions will be eligible for vaccination starting March 22.
Alabama	2021/3/22	 Residents age 55 or older and people ages 16-64 with state-defined, high-risk underlying conditions are eligible for vaccination starting March 22.
Alabama	2021/4/5	 On April 2, Gov. Kay Ivey (R) announcedthe state would expand vaccine eligibility to all residents 16 years of age and older on April 5. The Alabama Department of Corrections announced it would begin vaccinating inmates on April 12.
Alabama	2021/4/9	 Gov. Kay Ivey (R) issued a Safer Apart order that takes effect April 9 and runs through May 5. It replaces the Safer at Home order, which was extended and modified several times since it was implemented on April 30, 2020. The Safer Apart order lifts most restrictions on businesses and individuals, including the statewide mask requirement. The order recommends people continue mitigation practices like wearing masks in public and social distancing. The mask order took effect July 16, 2020. For more information on the Safer Apart order, click here.
Alabama	2021/5/4	 Gov. Kay Ivey (R) extended the Safer Apart public health order until May 31 and the coronavirus emergency order until July 6. Ivey said she will not extend the orders further.
Alabama	2021/5/11	 Gov. Kay Ivey (R) announced the state will stop participating in pandemic-related federal unemployment benefit programs starting June 19. Alabama is one of seven states that have announced federal benefits will end by June 30 or earlier.
Alabama	2021/5/25	 Gov. Kay Ivey (R) signed a bill prohibiting the government from issuing “standardized documentation for the purpose of certifying immunization status.” The bill also prohibits state agencies, schools, and businesses from requiring individuals to prove their vaccination status to access facilities or services.
Alabama	2021/6/21	 The state stopped participating in pandemic-related federal unemployment benefit programs on June 19. Gov. Kay Ivey (R) made the announcement May 10.
Alabama	2021/7/8	 On July 6, Gov. Kay Ivey (R) ended the coronavirus state of emergency.
Alaska	2020/5/7	 Bars and gyms will be allowed to open at 25% capacity Friday. Limits on social and religious gatherings will be increased to 50 people. Businesses will be allowed to operate at 50% capacity and restaurants will be allowed to serve walk-in customers.
Alaska	2020/5/21	 Gov. Mike Dunleavy (R) announced on May 19 that Alaska will move to Phase Three of its reopening plan on May 22 at 8 a.m. Phase Three will lift all coronavirus restrictions on businesses and allow them to operate at full capacity. "It will all be open, just like it was prior to the virus," Dunleavy said. Local governments may choose to open at a different pace than the statewide order.
Alaska	2020/8/17	 Gov. Mike Dunleavy (R) announced the state accepted President Donald Trump’s (R) partial extension of unemployment benefits. Alaska will pay $300 per week in unemployment benefits while the federal government provides an additional $300 per week.
Alaska	2020/8/28	 Gov. Mike Dunleavy (R) signed legislation expanding the state’s AK CARES grant program to include businesses that received Paycheck Protection Program or Economic Injury Disaster Loan funds from the federal government. The AK Cares program was introduced on June 1 to provide relief for small businesses that did not receive federal aid.
Alaska	2020/11/10	 Gov. Mike Dunleavy (R) issued a new coronavirus emergency order, effective through Dec. 15.
Alaska	2020/11/17	 Gov. Mike Dunleavy (R) issued eight new health orders, effective Nov. 16. Included in the orders is updated guidance for interstate, intrastate, and international travel.
Alaska	2020/12/11	 Gov. Mike Dunleavy (R) announced he will extend the state’s coronavirus emergency order no later than Dec. 14. The new order will be effective Dec. 16, 2020, until Jan. 15, 2021.
Alaska	2020/12/16	 Gov. Mike Dunleavy (R) extended the state’s coronavirus emergency order through Jan. 15, 2021.
Alaska	2021/1/15	 Gov. Mike Dunleavy (R) extended the state’s coronavirus emergency order until Feb. 14.
Alaska	2021/2/16	 Gov. Mike Dunleavy (R) allowed the state’s coronavirus emergency order to expire on Feb 14. Four health advisories replaced the order, including recommendations for mitigating virus spread among individuals (like wearing a face-covering and social distancing). Alaska’s interstate pre-travel testing requirements also expired with the emergency order, but individuals who have COVID-19 are still prohibited from entering the state. Pre-travel testing is still encouraged. Click the interstate and intrastate travel links to read more about Alaska’s travel advisories.
Alaska	2021/3/4	 On March 3, Gov. Mike Dunleavy (R) announced people in Phase 1c of the distribution plan became eligible for vaccinations. The phase includes everyone age 55 and older. Anyone 16 or older can get vaccinated if they work in an essential industry, have state-defined high-risk health conditions, live in a state-defined multigenerational household, or reside in communities with limited plumbing.
Alaska	2021/3/10	 On March 9, Gov. Mike Dunleavy (R) removed all eligibility requirements to receive vaccines. Alaska is the first state to allow anyone age 16 or older who lives or works in the state to make appointments.
Alaska	2021/4/28	 Gov. Mike Dunleavy (R) issuedAdministrative Order 321, prohibiting the state from requiring proof of vaccination for people to travel to or within Alaska.
Alaska	2021/5/3	Gov. Mike Dunleavy (R) lifted the state’s coronavirus emergency order on April 30. Dunleavy’s emergency powers originally expired Feb. 14, causing his emergency declaration to end. But the emergency order’s expiration prevented the state from accessing an additional $8 million of federal food assistance benefits for April. In response, the legislature passed House Bill 76, and Dunleavy signed the legislation on April 30. The bill retroactively extended the disaster emergency from Feb. 14 through the end of 2021. The retroactive extension allowed the state to access the federal food assistance benefits. The bill also allowed Department of Health and Social Services Director Adam Crump to issue a limited disaster emergency order April 30 to secure future federal assistance. After Gov. Dunleavy signed the legislation and Crump signed the limited order, the governor re-ended the state’s emergency order, effective April 30. HB 76 passed the state Senate April 28. The state House approved the legislation April 29. The new law also enacts legal immunity for businesses against claims related to COVID-19.
Alaska	2021/6/14	 The state ended its participation in pandemic-related federal unemployment benefit programs June 12. Gov. Mike Dunleavy (R) made the announcement May 14.
Arizona	2020/4/30	 Gov. Doug Ducey (R) extended the state’s stay-at-home order through May 15. The order was set to expire today. Ducey also announced that several nonessential retail businesses could begin providing drive-thru services on May 4. State parks, golf courses, and postal services will also be allowed to open on that date. Beginning May 8, those same businesses can begin offering in-store services as long as social distancing requirements are met. Arizona is a Republican trifecta.
Arizona	2020/5/4	 Gov. Doug Ducey's (R) April 29 executive order allowed nonessential retail businesses to open for curbside pickup Monday. Arizona is a Republican trifecta.
Arizona	2020/5/5	 Gov. Doug Ducey's (R) April 29 executive order permitted nonessential retail businesses to open for curbside pickup Monday. He announced that salons and barbershops could reopen on May 8, and restaurant dine-in services could resume May 11. Arizona is a Republican trifecta.
Arizona	2020/5/13	 Gov. Doug Ducey (R) announced that he would not extend the state’s stay-at-home order, which is scheduled to end on May 15. He said that gyms and pools could reopen on May 13 if they follow recommendations provided by health officials and that professional sports teams could begin playing on May 16 without fans.
Arizona	2020/5/15	 Statewide stay-at-home orders in five states—Arizona, Louisiana, Maryland, Nevada, and Vermont—ended on May 15. These became the 19th through 23rd states where stay-at-home orders have ended. Of those five states, three have Republican governors and two have Democratic governors.
Arizona	2020/5/18	 Gov. Doug Ducey (R) released guidelines on cleaning and social distancing for casinos and movie theaters in the state to reopen. According to ABC 15, several casinos opened on May 15, while major theater chains are expecting to reopen in June or July. See today's Featured Plan for more on Arizona's reopening.
Arizona	2020/5/29	 Gov. Doug Ducey (R) announced that schools would reopen in the fall and that the state would release guidelines to schools on June 1. Schools in the state have been closed to in-person instruction since March 15.
Arizona	2020/6/1	 The Department of Education released its 36-page “Roadmap for Reopening Schools.” The document covers four different scenarios: in-person instruction from the beginning of the year, some students distance learning and some students learning in-person at the start of the year, all students distance learning at the start of the year, and intermittent distance learning throughout the year, depending on local conditions.
Arizona	2020/6/30	 Gov. Doug Ducey (R) ordered bars, movie theaters, and water parks to close for at least one month. He also ordered public schools to delay the start of the school year until at least August 17. According to KTAR, most of the state’s public school systems traditionally begin their school years in early August.
Arizona	2020/7/10	 Gov. Doug Ducey (R) announced that restaurants would be limited to 50% capacity for indoor dining, effective at 10 p.m. on July 11. Restaurants had previously been allowed to reopen at full capacity.
Arizona	2020/7/24	 Gov. Doug Ducey (R) ordered bars, gyms, and water parks to remain closed for two additional weeks. Ducey issued an executive order closing those businesses on June 29 that was set to expire July 27. Ducey also ordered public schools to reopen for on-site learning on Aug. 17 for students who have nowhere else to go. Superintendent Kathy Hoffman clarified that the order meant each school district must open at least one site for students to go, but did not have to open every school or require every teacher to work in-person.
Arizona	2020/7/27	 On July 24, the Arizona Department of Health Services released guidelines for gyms and fitness clubs to follow when allowed to reopen. Health Director Dr. Cara Christ said gyms were still required to remain closed until Gov. Doug Ducey (R) permits them to reopen.
Arizona	2020/8/4	 Superintendent of Public Instruction Kathy Hoffman
Arizona	2020/8/4	 Superintendent of Public Instruction Kathy Hoffman said she believed schools in Arizona should not reopen for in-person instruction yet. Hoffman wrote, “As school leaders, we should prepare our families and teachers for the reality that it is unlikely that any school community will be able to reopen safely for traditional in-person or hybrid instructions by August 17th.”
Arizona	2020/8/7	 The state health and education departments released guidelines for public schools to use when determining whether it is safe to reopen for full, in-person learning. The county metrics that form the guidelines include the number of cases per 100,000 people, positivity rate, and rates of COVID-like illness.
Arizona	2020/8/11	 Gov. Doug Ducey (R) released guidelines from the Arizona Department of Health Services (ADHS) for reopening businesses that are currently not allowed to reopen. The guidelines apply to gyms, theaters, water parks, tubing, bars, and nightclubs. The guidelines use a red, yellow, and green benchmark system based on county coronavirus figures. The ADHS recommended that current restrictions be kept in place for now, but provided the guidelines to help businesses and industry decide when to reopen once the state rescinds its restrictions.
Arizona	2020/8/14	 Arizona Department of Education Superintendent Kathy Hoffman criticized districts choosing to reopen fully in-person on Aug. 17 despite not meeting the state’s reopening metrics released last week. Gov. Doug Ducey (R) defended the districts, saying local leadership was responsible for making them.
Arizona	2020/8/17	 Beginning Aug. 17, school districts were allowed to reopen to in-person instruction if they meet metrics the state Department of Health released the week of Aug. 3. For a district to reopen, its county must have a two-week drop in the number of COVID-19 cases, a two-week period where the percent of positive cases is below 7%, and less than 10% of hospital visits must be COVID-19 related.
Arizona	2020/8/20	 The Arizona Department of Health Services approved reopening plans for two movie theaters, 31 fitness centers, and five bars. Businesses in these industries are allowed to reopen in counties based on community spread metrics.
Arizona	2020/8/21	 Officials from the Arizona Department of Health Services announced that each of the state’s 15 counties met at least one of the three benchmarks for reopening. Two counties—Apache and Yavapai—met all three, while Pima was the only county to meet just one.
Arizona	2020/8/24	 On Aug. 21, Arizona Education Association President Joe Thomas sent a letter to Gov. Doug Ducey (R) requesting the governor issue a statewide mask mandate for students in schools and on buses.
Arizona	2020/8/28	 Bars, gyms, movie theaters, and water parks were allowed to begin reopening in Apache, Cochise, Coconino, La Paz, Maricopa, Navajo, Pima, and Yavapai counties. Gyms were allowed to reopen at 25% capacity while the other businesses were allowed to reopen at 50% capacity.
Arizona	2020/9/2	 Gov. Doug Ducey (R) extended an executive order that adds 365 days to a driver's license expiration date. The executive order now runs through March 2021. Ducey said that the reason for the initial order was to eliminate the need for residents to visit DMV offices for license renewals.
Arizona	2020/9/4	 State health officials announced that 10 of the state’s 15 counties met the requirements to move to a hybrid learning model. Two of those counties, Greenlee and La Paz, met the benchmarks to resume full-time in-person education.
Arizona	2020/10/1	 The Arizona Department of Health Services announced all 15 counties in the state meet the requirements to allow businesses and activities like movie theaters, gyms, and food service at bars to reopen.
Arizona	2020/12/3	 Gov. Doug Ducey (R) announced an additional $60 million for increasing staffing at hospitals. Ducey also signed an order allowing restaurants to temporarily expand their outdoor dining premises with local approval.
Arizona	2020/12/30	 Gov. Doug Ducey (R) announced individuals age 75 and older will be eligible to receive coronavirus vaccines in phase 1B of the state’s distribution plan. School staff and first responders are also included in the phase, which is expected to start in mid- to late Jan. 2021.
Arizona	2021/1/19	 Gov. Doug Ducey (R) announced people age 65 and older are eligible to receive the coronavirus vaccine in Phase 1B. Previously, the phase made the vaccine available to individuals age 75 and older.
Arizona	2021/2/10	 Gov. Doug Ducey (R) announced the state is partnering with the University of Arizona to operate a vaccination site, starting Feb. 18. Registration will open on Feb. 16. At full capacity, the site will be able to distribute 6,000 vaccines daily.
Arizona	2021/2/18	 The state is partnering with the University of Arizona to operate a mass vaccination site, starting Feb. 18. Registration opened on Feb. 16. At full capacity, the site can administer 6,000 vaccines daily.
Arizona	2021/2/23	 Gov. Doug Ducey (R) announced the state is opening a vaccination site at Chandler-Gilbert Community College on March 3. At full capacity, the site will administer 12,000 vaccinations a day.
Arizona	2021/3/2	 Gov. Doug Ducey (R) announced vaccination centers in the Phoenix Metro Area can start vaccinating individuals age 55 and older and frontline essential workers starting March 4. People in those groups can start making appointments on March 2. Other parts of the state still have to vaccinate at least 55% of residents age 65 and older before they can expand eligibility.
Arizona	2021/3/8	 Gov. Doug Ducey (R) lifted the state’s capacity limits on businesses, including restaurants, bars providing dine-in services, gyms, theaters, and bowling alleys. Masking and distancing requirements remain in place.
Arizona	2021/3/15	 Gov. Doug Ducey’s (R) executive order requiring public schools to offer in-person instruction takes effect March 15. High schools and middle schools in high-transmission counties are exempt from the order. Parents can still keep their children in virtual classes.
Arizona	2021/3/24	 State-operated vaccination sites can startadministering vaccines to residents 16 or older on March 24. Previously, people 55 and older could make appointments at state sites.
Arizona	2021/3/26	 Gov. Doug Ducey (R) lifted restrictions on businesses and gatherings on March 25. All previous business restrictions are now recommendations. Businesses may enforce mask-wearing and social distancing, if they choose. Events larger than 50 people no longer need state approval. Ducey’s order also preempts the enforcement of local mask mandates, except in government buildings and on public transportation. Residents are still encouraged to wear masks.
Arizona	2021/5/14	 Gov. Doug Ducey (R) announced the state will stop participating in federal pandemic unemployment programs beginning July 10. Ducey also announced the Back To Work bonus, which will give $2,000 to eligible residents who return to the workforce full time and $1,000 to people who return part-time. For more information on the unemployment changes and Back To Work bonuses, click here.
